word,meanInJa,meanInEn
solicit,懇願する,"to beg, seek earnestly"
astute,聡い,"keen, shrewd"
advocate,提唱する,"to be in favor of, to support"
ineffectual,失活する,not effective
scrutinize,精査する,examine closely
nefarious,悪い,"villainous, vicious"
amicable,友好的な,"friendly, peaceful"
vexatious,鬱陶しい,annoying
malady,疾病,disease
inclement,(天気が)荒れ模様,"unfavorable, stormy"
peruse,"熟読する, 精読する",to read carefully
premonition,予感,forewarning
desist,"やめる, 思いとどまる",cease
recoil,"後退する, 引き返す",draw back
pertinent,"適切な, しっくりとした",to the point
mastiff,大きな犬(犬種),large dog
obsess,"取り付く, つきまとう","to haunt, preoccupy"
doleful,"悲しげな, 陰鬱な","sad, melancholy"
wan,"青ざめた, 血の気のない",sickly pale
histrionics,芝居がかったしぐさ,display of emotions
elusive,"わかりにくい, 記憶しにくい",hard to grasp
frustrate,"妨げる, 邪魔する","counteract, foil, thwart"
symptomatic,"前兆となる, 兆候的な","having to do with signs or symptoms, indicative"
interject,不意に差し挟む,"insert, interrupt"
inert,自分で動く力のない,without power to move
salient,"顕著な, 目立った","outstanding, prominent"
imminent,"今にも起こりそうな, 切迫した","likely to happen, threatening"
squeamish,"ショックを受ける, 潔癖すぎる, 気難しい","easy shocked, over sensitive"
engrossed,"熱中した, 夢中になって",absorbed
poignant,"強く心に訴える, 胸を刺す様な","moving, painful to the feelings"
inundate,"氾濫させる, 押し寄せる",to flood
fruitless,"実を結ばない, 無益な",useless
garbled,"容量を得ない, 混乱した","confused, mixed up"
sanguine,"陽気な, 楽天的な",optimistic
phlegmatic,"動きのない, 冷淡な","calm, hard to rouse to action"
corroborate,証拠によって確証する,"confirm, support"
comprehensive,"包括的な, 徹底的な, わかりやすい",thorough
zealous,熱狂的な,enthusiastic
coerce,"強いる, 強要する",to force
elapse,"経過する, 経つ",to slip by
meticulous,"ごく慎重な, 繊細な",careful
domicile,家,home
lax,"手ぬるい, 緩んでいる","careless, negligent"
sporadic,時々起こる,occasional
rash,"気の早い, 無分別な","too hasty, reckless"
conjecture,"推測, 推論",guess
obviate,"除去する, 予防する","do way with, eliminate"
lurid,"燦々とした, けばけばしい",sensational
quip,"皮肉る, 辛辣に言う",joke
